Species,Group
ALMACO,1
ALMACOJACK,1
BANDEDRUDDERFISH,1
BLACKFINSNAPPER,1
BLACKGROUPER,1
BLUELINETILEFISH,1
BROWNSHRIMP,2
COBIA,1
CUBERASNAPPER,1
GAG,1
GOLDFACETILEFISH,1
GOLIATHGROUPER,1
GRAYSNAPPER,1
GRAYTRIGGERFISH,1
GREATERAMBERJACK,1
HOGFISH,1
KINGMACKEREL,1
LANESNAPPER,1
LESSERAMBERJACK,1
MUTTONSNAPPER,1
PINKSHRIMP,2
QUEENSNAPPER,1
REDDRUM,1
REDGROUPER,1
REDSNAPPER,1
ROYALREDSHRIMP,1
SCAMP,1
SILKSNAPPER,1
SNOWYGROUPER,1
SPANISHMACKEREL,1
SPECKLEDHIND,1
SPINYLOBSTER,3
TILEFISH,1
VERMILIONSNAPPER,1
WARSAWGROUPER,1
WENCHMAN,1
WHITESHRIMP,2
YELLOWEDGEGROUPER,1
YELLOWFINGROUPER,1
YELLOWMOUTHGROUPER,1
YELLOWTAILSNAPPER,1
